,base,clouds,cod,coord,dt,id,main,name,rain,sys,timezone,weather,wind,visibility
12,stations,{'all': 1},200.0,"{'lon': -68.38, 'lat': 49.12}",1563235870.0,5922281.0,"{'temp': 19.93, 'pressure': 1010, 'humidity': 64, 'temp_min': 16.67, 'temp_max': 22}",Chute-aux-Outardes,,"{'type': 1, 'id': 747, 'message': 0.0073, 'country': 'CA', 'sunrise': 1563180274, 'sunset': 1563237236}",-14400.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 4.1, 'deg': 220}",14484.0
13,stations,{'all': 88},200.0,"{'lon': 152.44, 'lat': -3.66}",1563235576.0,2090021.0,"{'temp': 27.31, 'pressure': 1010.33, 'humidity': 72, 'temp_min': 27.31, 'temp_max': 27.31, 'sea_level': 1010.33, 'grnd_level': 987.49}",Namatanai,{'3h': 0.188},"{'message': 0.0087, 'country': 'PG', 'sunrise': 1563220692, 'sunset': 1563263629}",36000.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 2.32, 'deg': 216.242}",
14,stations,{'all': 100},200.0,"{'lon': -37.64, 'lat': 65.61}",1563235500.0,3424607.0,"{'temp': 8, 'pressure': 1013, 'humidity': 87, 'temp_min': 8, 'temp_max': 8}",Tasiilaq,,"{'type': 1, 'id': 81, 'message': 0.0098, 'country': 'GL', 'sunrise': 1563164094, 'sunset': 1563238659}",-7200.0,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}]","{'speed': 0.5, 'deg': 320}",
15,stations,{'all': 75},200.0,"{'lon': -42.02, 'lat': -22.97}",1563235514.0,3471451.0,"{'temp': 22, 'pressure': 1016, 'humidity': 88, 'temp_min': 22, 'temp_max': 22}",Arraial do Cabo,,"{'type': 1, 'id': 8343, 'message': 0.0063, 'country': 'BR', 'sunrise': 1563182905, 'sunset': 1563221951}",-10800.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 4.1, 'deg': 210}",8000.0
16,stations,{'all': 20},200.0,"{'lon': -25.43, 'lat': 37.72}",1563235517.0,3372472.0,"{'temp': 19, 'pressure': 1027, 'humidity': 88, 'temp_min': 19, 'temp_max': 19}",Vila Franca do Campo,,"{'type': 1, 'id': 6899, 'message': 0.0096, 'country': 'PT', 'sunrise': 1563258733, 'sunset': 1563310971}",0.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 3.1, 'deg': 10}",10000.0
17,stations,{'all': 0},200.0,"{'lon': 31.88, 'lat': -27.31}",1563235871.0,935051.0,"{'temp': 12, 'pressure': 1023, 'humidity': 87, 'temp_min': 12, 'temp_max': 12}",Lavumisa,,"{'type': 1, 'id': 2051, 'message': 0.008, 'country': 'ZA', 'sunrise': 1563252057, 'sunset': 1563290137}",7200.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 1.5, 'deg': 300}",
18,stations,{'all': 0},200.0,"{'lon': -139.03, 'lat': -9.8}",1563235502.0,4020109.0,"{'temp': 26.71, 'pressure': 1009.62, 'humidity': 79, 'temp_min': 26.71, 'temp_max': 26.71, 'sea_level': 1009.62, 'grnd_level': 1009.81}",Atuona,{'3h': 0.312},"{'message': 0.0074, 'country': 'PF', 'sunrise': 1563204831, 'sunset': 1563246593}",-34200.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 6.64, 'deg': 108.154}",
19,stations,{'all': 0},200.0,"{'lon': 18.42, 'lat': -33.93}",1563235413.0,3369157.0,"{'temp': 10.1, 'pressure': 1019, 'humidity': 100, 'temp_min': 8, 'temp_max': 11.67}",Cape Town,,"{'type': 1, 'id': 1899, 'message': 0.0102, 'country': 'ZA', 'sunrise': 1563256133, 'sunset': 1563292522}",7200.0,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]","{'speed': 1, 'deg': 340}",200.0
20,stations,{'all': 1},200.0,"{'lon': -73.48, 'lat': 45.36}",1563235540.0,6138908.0,"{'temp': 24.89, 'pressure': 1016, 'humidity': 50, 'temp_min': 23.89, 'temp_max': 26.11}",Saint-Philippe,,"{'type': 1, 'id': 4146, 'message': 0.0098, 'country': 'CA', 'sunrise': 1563182391, 'sunset': 1563237567}",-14400.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 4.28, 'deg': 247.042}",16093.0
21,stations,{'all': 34},200.0,"{'lon': 172.79, 'lat': 3.07}",1563235490.0,2110227.0,"{'temp': 28.41, 'pressure': 1008.16, 'humidity': 76, 'temp_min': 28.41, 'temp_max': 28.41, 'sea_level': 1008.16, 'grnd_level': 1008.29}",Butaritari,{'3h': 2},"{'message': 0.0065, 'country': 'KI', 'sunrise': 1563215171, 'sunset': 1563259381}",43200.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 6.87, 'deg': 213.602}",
